Session,Matchup ID,Matchup Type ,Player,Opponent,W/L,MATCH 1,M1RW,M1RL,MATCH 2,M2RW,M2RL,MATCH 3,M3RW,M3RL,,,,,,,,,,
2024-04-05,54,Ranked,Paul,Xiaoyu,W,W,3,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
2024-04-05,55,Ranked,Paul,Paul,W,W,3,0,W,3,1,N/A,N/A,N/A,,,,,,,,,,
2024-04-05,56,Ranked,Paul,Eddy,L,L,0,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
2024-04-05,57,Ranked,Paul,Paul,T,W,3,1,L,1,3,N/A,N/A,N/A,,,,,,,,,,
2024-04-05,58,Ranked,Jun,Devil Jin,L,L,0,3,L,1,3,N/A,N/A,N/A,,,,,,,,,,
2024-04-05,59,Ranked,Jun,Dragunov,X,,,,,,,,,,,,,,,,,,,
2024-04-05,60,Ranked,Jun,Eddy,W,W,3,0,W,3,2,N/A,N/A,N/A,,,,,,,,,,
2024-04-05,61,Ranked,Jun,Leo,W,W,3,1,L,0,3,W,3,0,,,,,,,,,,
2024-04-05,62,Ranked,Jun,Jin,W,L,2,3,W,3,1,W,3,1,,,,,,,,,,
2024-04-05,63,Ranked,Jun,Bryan,W,W,3,1,W,3,2,N/A,N/A,N/A,,,,,,,,,,
2024-04-05,64,Ranked,Jun,Bryan,W,W,3,1,W,3,2,N/A,N/A,N/A,,,,,,,,,,
